time_or_frame,value
0,0.0002270124
0.000227,0.0001760503
0.000403,0.0002202138
0.000623,0.0002085512
0.000832,0.0002264047
0.001058,0.0002029776
0.001261,0.0002609883
0.001522,0.0002670704
0.001789,0.0001988952
0.001988,0.0002247404
0.002213,0.0002170254
0.00243,0.0002041014
0.002634,0.0001938136
0.002828,0.0002120684
0.00304,0.0002040287
0.003244,0.0001839689
0.003428,0.000293579
0.003721,0.0002542525
0.003976,0.000289478
0.004265,0.0001986685
0.004464,0.0002839363
0.004748,0.0002687171
0.005017,0.0002160031
0.005233,0.0002279432
0.00546,0.0001794757
0.00564,0.000184728
0.005825,0.0001785787
0.006003,0.0003021463
0.006305,0.0002092776
0.006515,0.0002370416
0.006752,0.0002875924
0.007039,0.000181201
0.007221,0.0003156322
0.007536,0.0002200245
0.007756,0.0001787227
0.007935,0.0002880338
0.008223,0.0001887279
0.008412,0.0002213457
0.008633,0.000233872
0.008867,0.0002107341
0.009078,0.0001808042
0.009258,0.0001843463
0.009443,0.0001913284
0.009634,0.000212546
0.009847,0.0002536973
0.0101,0.0002016959
0.010302,0.0002044212
0.010506,0.0001940179
0.0107,0.0002662463
0.010967,0.0001756999
0.011142,0.000239086
0.011382,0.0001798863
0.011561,0.0002454007
0.011807,0.0002007456
0.012008,0.0001800371
0.012188,0.0001939661
0.012382,0.0003021809
0.012684,0.0001896049
0.012873,0.000177393
0.013051,0.000274065
0.013325,0.0001997395
0.013525,0.0002752564
0.0138,0.0002006891
0.014,0.0001882842
0.014189,0.0001821573
0.014371,0.0002188978
0.01459,0.0002071292
0.014797,0.000261395
0.015058,0.0002009354
0.015259,0.0001783701
0.015438,0.0001907688
0.015628,0.0001869005
0.015815,0.0002758803
0.016091,0.000263979
0.016355,0.0001863373
0.016542,0.0002369143
0.016778,0.0001789292
0.016957,0.0001830639
0.01714,0.0001889096
0.017329,0.0001801547
0.017509,0.0001857609
0.017695,0.0002019239
0.017897,0.0002097297
0.018107,0.0001911613
0.018298,0.0001836236
0.018482,0.0002201054
0.018702,0.0001856312
0.018887,0.0001984466
0.019086,0.0001816374
0.019268,0.0001826197
0.01945,0.0001802628
0.01963,0.0002530943
0.019883,0.0001906941
0.020074,0.000208396
0.020283,0.0001971969
0.02048,0.0001777631
0.020658,0.0001779771
0.020836,0.0001862237
0.021022,0.0002236328
0.021245,0.0001966041
0.021442,0.0002339928
0.021676,0.0002383488
0.021914,0.0001955997
0.02211,0.0001824523
0.022292,0.0001878797
0.02248,0.0001804411
0.022661,0.0001929012
0.022854,0.0002352054
0.023089,0.0002201242
0.023309,0.0001921047
0.023501,0.0001998262
0.023701,0.0002919174
0.023993,0.0002721683
0.024265,0.0002830603
0.024548,0.0001758997
0.024724,0.0001789962
0.024903,0.0001880427
0.025091,0.000196586
0.025288,0.0002096484
0.025497,0.0001787778
0.025676,0.0001800824
0.025856,0.000185937
0.026042,0.000175497
0.026217,0.0001958422
0.026413,0.0001862972
0.0266,0.0001949276
0.026795,0.0001818471
0.026976,0.0002428129
0.027219,0.0002210166
0.02744,0.0002177413
0.027658,0.0001825818
0.027841,0.0003125691
0.028153,0.0001774618
0.028331,0.0003639481
0.028695,0.0001813152
0.028876,0.0003966818
0.029272,0.0001772114
0.02945,0.0002137765
0.029663,0.0001885429
0.029852,0.0001769293
0.030029,0.0004942589
0.030523,0.0001797093
0.030703,0.0001800995
0.030883,0.0001804233
0.031063,0.0002315361
0.031295,0.0002460133
0.031541,0.0002302273
0.031771,0.0002794108
0.032051,0.0002552885
0.032306,0.0003670781
0.032673,0.0002988499
0.032972,0.0002210406
0.033193,0.0002172285
0.03341,0.0001755343
0.033586,0.0002012302
0.033787,0.0001769405
0.033964,0.0001785081
0.034142,0.0003926376
0.034535,0.0002851036
0.03482,0.0001873692
0.035007,0.0001800741
0.035188,0.0001781956
0.035366,0.0003824217
0.035748,0.0002146784
0.035963,0.000205306
0.036168,0.0002189621
0.036387,0.0001915706
0.036579,0.0002115252
0.03679,0.0001913042
0.036981,0.0001796998
0.037161,0.0001964254
0.037358,0.0001784531
0.037536,0.0002277364
0.037764,0.0001910333
0.037955,0.0002096465
0.038164,0.0002221115
0.038387,0.0001948703
0.038581,0.0001787165
0.03876,0.0001836149
0.038944,0.0001840138
0.039128,0.0001820529
0.03931,0.0002066138
0.039516,0.0001758694
0.039692,0.0002712055
0.039964,0.0001913863
0.040155,0.0002815666
0.040437,0.0002175448
0.040654,0.0001763023
0.04083,0.0001922668
0.041023,0.0001836345
0.041206,0.0002438743
0.04145,0.0002080955
0.041658,0.0001827769
0.041841,0.0001851751
0.042026,0.000229013
0.042255,0.0001856508
0.042441,0.0002639801
0.042705,0.0001887143
0.042894,0.0002032392
0.043097,0.0001885919
0.043285,0.0001918308
0.043477,0.0001764698
0.043654,0.0002073983
0.043861,0.0001773519
0.044038,0.0001894888
0.044228,0.0001893457
0.044417,0.0002078924
0.044625,0.0001764877
0.044802,0.000222034
0.045024,0.0001786503
0.045202,0.0001793132
0.045382,0.0001787993
0.04556,0.0003228975
0.045883,0.0001850757
0.046068,0.0001975746
0.046266,0.0001910356
0.046457,0.0002653871
0.046722,0.0001796538
0.046902,0.0001801539
0.047082,0.0002328262
0.047315,0.0002079096
0.047523,0.0002425036
0.047765,0.0001919263
0.047957,0.0002184777
0.048176,0.0001950835
0.048371,0.0001795972
0.048551,0.00017671
0.048727,0.0003267963
0.049054,0.0001866492
0.049241,0.0002385374
0.049479,0.0002294367
0.049709,0.0002523255
0.049961,0.0002733103
0.050234,0.0002914751
0.050526,0.0001870372
0.050713,0.00022096
0.050934,0.0002480975
0.051182,0.0001848094
0.051367,0.0001788124
0.051545,0.0002117536
0.051757,0.0001756292
0.051933,0.0002815597
0.052214,0.000175536
0.05239,0.0001994025
0.052589,0.0002247514
0.052814,0.0002692534
0.053083,0.0002070058
0.05329,0.0002590799
0.053549,0.000175146
0.053725,0.0002781994
0.054003,0.0002115317
0.054214,0.000179085
0.054393,0.0001755479
0.054569,0.0002538081
0.054823,0.0002724234
0.055095,0.0001897318
0.055285,0.0001947815
0.05548,0.000197586
0.055677,0.0001775933
0.055855,0.0001878303
0.056043,0.0002168689
0.05626,0.0001936052
0.056453,0.0002776947
0.056731,0.0001829758
0.056914,0.0002178331
0.057132,0.0001850895
0.057317,0.0001752683
0.057492,0.0001785874
0.057671,0.0002067307
0.057877,0.0001930928
0.05807,0.0001799345
0.05825,0.0002076045
0.058458,0.0002247343
0.058683,0.0001752799
0.058858,0.0001894781
0.059047,0.000233734
0.059281,0.0002438021
0.059525,0.0001917492
0.059717,0.0001788192
0.059896,0.0002276948
0.060123,0.0001831234
0.060306,0.0001917207
0.060498,0.0001867303
0.060685,0.0001837725
0.060869,0.0001751782
0.061044,0.0001817308
0.061226,0.0002988041
0.061524,0.0001977554
0.061722,0.0001780327
0.0619,0.000209332
0.062109,0.000190097
0.0623,0.000196374
0.062496,0.0001904706
0.062686,0.000196663
0.062883,0.0002773005
0.06316,0.000189018
0.063349,0.0002006871
0.06355,0.0002333009
0.063783,0.0003307172
0.064114,0.0003515317
0.064466,0.0001821632
0.064648,0.0001874364
0.064835,0.0001763301
0.065012,0.0001825512
0.065194,0.0002330298
0.065427,0.0002115754
0.065639,0.0003554313
0.065994,0.0003060052
0.0663,0.0001798771
0.06648,0.0002842562
0.066764,0.0002130523
0.066977,0.0001783557
0.067156,0.0001930898
0.067349,0.0001802558
0.067529,0.0001851127
0.067714,0.0002107897
0.067925,0.0001930825
0.068118,0.0001840966
0.068302,0.0002915138
0.068594,0.0002105832
0.068804,0.0002193807
0.069024,0.0002958033
0.069319,0.0002005288
0.06952,0.0002919715
0.069812,0.0001848142
0.069997,0.0003013302
0.070298,0.0002065208
0.070505,0.0002435618
0.070748,0.0001845729
0.070933,0.0002211293
0.071154,0.0002478703
0.071402,0.0002172374
0.071619,0.0002651445
0.071884,0.000247411
0.072132,0.0002230782
0.072355,0.0001776731
0.072532,0.0002377895
0.07277,0.0001787511
0.072949,0.0002114613
0.07316,0.0002085375
0.073369,0.0002666546
0.073635,0.0002839473
0.073919,0.000191864
0.074111,0.0002573236
0.074369,0.0001872878
0.074556,0.0001768845
0.074733,0.0002025369
0.074935,0.0002129597
0.075148,0.0002075715
0.075356,0.000191035
0.075547,0.0001924
0.075739,0.0002753109
0.076015,0.0001843539
0.076199,0.0002464229
0.076445,0.0001990044
0.076644,0.0003556829
0.077,0.0001978548
0.077198,0.0004081847
0.077606,0.0002004993
0.077807,0.0003396487
0.078146,0.0002157429
0.078362,0.0002909905
0.078653,0.000208533
0.078861,0.0002945983
0.079156,0.0001833784
0.079339,0.0002446704
0.079584,0.0001827238
0.079767,0.0002683209
0.080035,0.0003991542
0.080434,0.0002024614
0.080637,0.0001903169
0.080827,0.0001870674
0.081014,0.0003354357
0.08135,0.0002945544
0.081644,0.000245591
0.08189,0.0001960788
0.082086,0.0002315919
0.082317,0.0001988198
0.082516,0.0002047638
0.082721,0.0001956501
0.082917,0.0002017473
0.083118,0.0001802562
0.083299,0.0001939499
0.083493,0.0002031515
0.083696,0.0001893272
0.083885,0.0002682537
0.084153,0.0001756856
0.084329,0.0002360525
0.084565,0.0002262955
0.084791,0.0002418057
0.085033,0.0002055372
0.085239,0.0002712422
0.08551,0.0002035221
0.085713,0.0003075443
0.086021,0.000357839
0.086379,0.0002003421
0.086579,0.0001978427
0.086777,0.0001791165
0.086956,0.0003860784
0.087342,0.0002193514
0.087562,0.0001879195
0.08775,0.0002120321
0.087962,0.0003162933
0.088278,0.0003421876
0.08862,0.0003102342
0.08893,0.0001821153
0.089112,0.0003361945
0.089449,0.0003526974
0.089801,0.0003715185
0.090173,0.0001791164
0.090352,0.0002860109
0.090638,0.0003075903
0.090946,0.0001801849
0.091126,0.000178019
0.091304,0.0002686857
0.091572,0.0002392157
0.091812,0.0003096315
0.092121,0.0002248063
0.092346,0.0001952528
0.092541,0.0001819739
0.092723,0.0003185321
0.093042,0.0002403451
0.093282,0.0002012679
0.093483,0.0001863942
0.09367,0.0002482121
0.093918,0.0002142809
0.094132,0.0002677053
0.0944,0.0002436921
0.094644,0.0001757524
0.094819,0.0001945263
0.095014,0.0001762961
0.09519,0.0001921802
0.095382,0.0001870716
0.09557,0.0001965247
0.095766,0.0003431463
0.096109,0.0003113504
0.096421,0.0002431109
0.096664,0.0001794767
0.096843,0.0003128758
0.097156,0.0002546113
0.097411,0.0002927546
0.097703,0.0001756433
0.097879,0.0002054916
0.098085,0.0002189505
0.098303,0.0002410771
0.098545,0.0002253604
0.09877,0.0001777849
0.098948,0.0002157623
0.099163,0.0001795053
0.099343,0.0002053061
0.099548,0.0002009394
0.099749,0.0002279953
0.099977,0.0002045001
0.100182,0.0001811617
0.100363,0.000228412
0.100591,0.0002770195
0.100868,0.0001813965
0.10105,0.0001949097
0.101245,0.0002046417
0.101449,0.0002562071
0.101705,0.000184598
0.10189,0.0001991546
0.102089,0.0001968498
0.102286,0.0002528706
0.102539,0.0002351436
0.102774,0.0001775431
0.102952,0.0001851987
0.103137,0.0001977561
0.103335,0.000426873
0.103761,0.000209832
0.103971,0.0001802725
0.104152,0.0001944763
0.104346,0.0002756216
0.104622,0.0001863096
0.104808,0.0001783555
0.104986,0.0005183356
0.105505,0.0005185264
0.106023,0.0001876829
0.106211,0.0002071911
0.106418,0.0001828258
0.106601,0.0002223443
0.106823,0.0002053461
0.107029,0.0002400835
0.107269,0.0004380598
0.107707,0.000237149
0.107944,0.0003658826
0.10831,0.0001831254
0.108493,0.0003833129
0.108876,0.0004356216
0.109312,0.0001848173
0.109497,0.0002177042
0.109714,0.0002997078
0.110014,0.0002642122
0.110278,0.0002988138
0.110577,0.0002336491
0.110811,0.0005013989
0.111312,0.0002368116
0.111549,0.0003129093
0.111862,0.0002303778
0.112092,0.0001882114
0.11228,0.0002108774
0.112491,0.0002465165
0.112738,0.0002058457
0.112944,0.0001802145
0.113124,0.0002965223
0.11342,0.00024138
0.113662,0.0005480574
0.11421,0.000246509
0.114456,0.0002319422
0.114688,0.0002526772
0.114941,0.0002179698
0.115159,0.0002004615
0.115359,0.0002249834
0.115584,0.0004401043
0.116024,0.0002173355
0.116242,0.0004512098
0.116693,0.0001780992
0.116871,0.0002425877
0.117114,0.000553768
0.117667,0.0003468553
0.118014,0.000253339
0.118268,0.0002011667
0.118469,0.0002477954
0.118717,0.0001879849
0.118905,0.0002283851
0.119133,0.0001960881
0.119329,0.0001956018
0.119525,0.0002332465
0.119758,0.0001863825
0.119944,0.0003810609
0.120325,0.0002138393
0.120539,0.0002006089
0.12074,0.0001819465
0.120922,0.0002655425
0.121187,0.0001940225
0.121381,0.0001770653
0.121558,0.0002473542
0.121806,0.0003317238
0.122137,0.0003345228
0.122472,0.0001812889
0.122653,0.000515325
0.123169,0.0002058279
0.123374,0.0001864413
0.123561,0.0002834011
0.123844,0.0002608673
0.124105,0.0001928234
0.124298,0.0004778615
0.124776,0.0003142312
0.12509,0.0001925372
0.125283,0.0007
0.125983,0.0002636613
0.126246,0.0002047447
0.126451,0.0003170259
0.126768,0.0001993082
0.126967,0.0002326342
0.1272,0.0001907037
0.127391,0.0001902638
0.127581,0.0002556639
0.127837,0.0002772353
0.128114,0.0001990108
0.128313,0.0002705966
0.128583,0.0003016004
0.128885,0.0002138766
0.129099,0.0003734669
0.129472,0.0001884847
0.129661,0.0004630462
0.130124,0.000213061
0.130337,0.0001753241
0.130512,0.000404152
0.130916,0.0002973695
0.131214,0.0003931533
0.131607,0.0002271138
0.131834,0.0002445659
0.132079,0.00027591
0.132355,0.0003495677
0.132704,0.0002248989
0.132929,0.0001760322
0.133105,0.0002257379
0.133331,0.0002487471
0.13358,0.0003708726
0.13395,0.0002439427
0.134194,0.000497563
0.134692,0.0006994122
0.135391,0.0003317667
0.135723,0.0002261153
0.135949,0.000391243
0.13634,0.0002955862
0.136636,0.0003148261
0.136951,0.000210647
0.137162,0.0004444668
0.137606,0.0001962864
0.137802,0.000177526
0.13798,0.0004259112
0.138406,0.0002254093
0.138631,0.0001950211
0.138826,0.0002959202
0.139122,0.0002007665
0.139323,0.0001993194
0.139522,0.0002095449
0.139732,0.0002256931
0.139957,0.0002145732
0.140172,0.0002350349
0.140407,0.0003184173
0.140725,0.0001775894
0.140903,0.0002247567
0.141128,0.0002245294
0.141352,0.0001796117
0.141532,0.0004194167
0.141951,0.0003787191
0.14233,0.0002303971
0.14256,0.000418532
0.142979,0.0002449369
0.143224,0.0004843382
0.143708,0.0002852657
0.143994,0.0003372159
0.144331,0.0003446761
0.144675,0.0001952611
0.144871,0.0001907962
0.145061,0.0002017118
0.145263,0.0004520745
0.145715,0.0002260319
0.145941,0.0004779439
0.146419,0.0004586501
0.146878,0.0002340506
0.147112,0.0002010948
0.147313,0.0002211089
0.147534,0.0003268906
0.147861,0.000215472
0.148076,0.0003182522
0.148395,0.0002066384
0.148601,0.0003389163
0.14894,0.0002927975
0.149233,0.0003450045
0.149578,0.0002281118
0.149806,0.0002054738
0.150012,0.00973523
0.159747,0.009130964
0.168878,0.00781424
0.176692,0.007513886
0.184206,0.009577244
0.193783,0.008529996
0.202313,0.008502789
0.210816,0.008226642
0.219043,0.006728054
0.225771,0.007472461
0.233243,0.01078932
0.244033,0.006400336
0.250433,0.01189578
0.262329,0.01294654
0.275275,0.01111224
0.286387,0.006590401
0.292978,0.008914242
0.301892,0.0126068
0.314499,0.0112628
0.325762,0.006668452
0.33243,0.007132482
0.339563,0.007199574
0.346762,0.009688328
0.35645,0.01282813
0.369279,0.006436094
0.375715,0.01371137
0.389426,0.008077557
0.397504,0.009661908
0.407166,0.006336629
0.413502,0.01248076
0.425983,0.01539597
0.441379,0.0106039
0.451983,0.007296875
0.45928,0.01264822
0.471928,0.01160985
0.483538,0.01120218
0.49474,0.01740202
0.512142,0.007412282
0.519554,0.007034113
0.526588,0.0153522
0.541941,0.009971258
0.551912,0.007846843
0.559759,0.01184725
0.571606,0.0201754
0.591781,0.01235107
0.604132,0.01069135
0.614824,0.006782081
0.621606,0.01436396
0.63597,0.01092468
0.646894,0.01083523
0.65773,0.01450273
0.672232,0.007083189
0.679316,0.01929649
0.698612,0.008027736
0.70664,0.01241601
0.719056,0.0158612
0.734917,0.01034659
0.745264,0.02488745
0.770151,0.01033342
0.780484,0.01513095
0.795615,0.01352674
0.809142,0.01144545
0.820588,0.02213416
0.842722,0.00656666
0.849288,0.01295213
0.862241,0.009213954
0.871455,0.007813741
0.879268,0.02362018
0.902888,0.008340176
0.911229,0.02095303
0.932182,0.006751881
0.938934,0.01321384
0.952147,0.009087565
0.961235,0.00940646
0.970641,0.01046134
0.981103,0.01573487
0.996838,0.01494732
1.011785,0.008795099
1.02058,0.01251266
1.033093,0.015229
1.048322,0.01446229
1.062784,0.006741025
1.069525,0.007058142
1.076583,0.01441106
1.090994,0.015393
1.106387,0.01053707
1.116924,0.01726509
1.134189,0.008268639
1.142458,0.009065006
1.151523,0.01738919
1.168912,0.01337347
1.182286,0.01382627
1.196112,0.01738147
1.213493,0.01649382
1.229987,0.01272004
1.242707,0.01660019
1.259307,0.01103369
1.270341,0.01208342
1.282425,0.01853242
1.300957,0.009359683
1.310317,0.01169951
1.322016,0.0211259
1.343142,0.008276012
1.351418,0.007779661
1.359198,0.0124339
1.371632,0.01478033
1.386412,0.0133946
1.399807,0.009321271
1.409128,0.01104863
1.420176,0.008060977
1.428237,0.007573724
1.435811,0.007211529
1.443023,0.00722171
1.450244,0.007974974
1.458219,0.008446637
1.466666,0.01010989
1.476776,0.008572775
1.485349,0.006682392
1.492031,0.009517257
1.501548,0.007538128
1.509086,0.007642896
1.516729,0.007294864
1.524024,0.008419464
1.532444,0.00684126
1.539285,0.007902241
1.547187,0.009318656
1.556506,0.008819523
1.565325,0.009620609
1.574946,0.009413425
1.584359,0.01009518
1.594455,0.007043974
1.601499,0.006928524
1.608427,0.01138063
1.619808,0.01026334
1.630071,0.006924951
1.636996,0.009763338
1.646759,0.006826498
1.653586,0.00762269
1.661209,0.006372329
1.667581,0.006529116
1.67411,0.008395599
1.682506,0.009940074
1.692446,0.009984582
1.70243,0.007522759
1.709953,0.007817823
1.717771,0.006815653
1.724586,0.006510712
1.731097,0.00686451
1.737962,0.01090195
1.748864,0.008827336
1.757691,0.006905733
1.764597,0.01015372
1.77475,0.01162266
1.786373,0.009508718
1.795882,0.0133355
1.809217,0.008409072
1.817626,0.007420932
1.825047,0.007772438
1.83282,0.01022787
1.843048,0.007177677
1.850225,0.006317813
1.856543,0.01030661
1.86685,0.008742751
1.875592,0.01199353
1.887586,0.01091958
1.898506,0.0073664
1.905872,0.006592232
1.912464,0.006873868
1.919338,0.0076128
1.926951,0.01261996
1.939571,0.00706928
1.94664,0.007907346
1.954547,0.0063859
1.960933,0.007387491
1.968321,0.009222986
1.977544,0.01063061
1.988174,0.01056354
1.998738,0.00739616
2.006134,0.006285822
2.01242,0.008232059
2.020652,0.008876727
2.029529,0.008926505
2.038455,0.006485984
2.044941,0.007342729
2.052284,0.0076973
2.059981,0.009139056
2.06912,0.007053279
2.076174,0.007647576
2.083821,0.006307169
2.090128,0.007139694
2.097268,0.006466822
2.103735,0.009294954
2.11303,0.007002497
2.120032,0.009786829
2.129819,0.007326718
2.137146,0.0069758
2.144122,0.006649549
2.150771,0.00642989
2.157201,0.006333439
2.163535,0.00738283
2.170917,0.006403844
2.177321,0.006457527
2.183779,0.006530585
2.190309,0.007585507
2.197895,0.006469249
2.204364,0.007974206
2.212338,0.007920614
2.220259,0.008798458
2.229057,0.007991689
2.237049,0.01080266
2.247852,0.00810674
2.255958,0.007108495
2.263067,0.009767714
2.272835,0.006622755
2.279457,0.007725007
2.287182,0.008374485
2.295557,0.008202873
2.30376,0.006394831
2.310155,0.01128575
2.32144,0.009368044
2.330808,0.01106804
2.341876,0.006993981
2.34887,0.007117726
2.355988,0.01010549
2.366094,0.01050702
2.376601,0.007938133
2.384539,0.009039792
2.393579,0.006669305
2.400248,0.006755511
2.407003,0.006474252
2.413478,0.0112397
2.424717,0.008235123
2.432952,0.007264244
2.440217,0.009264988
2.449482,0.00702432
2.456506,0.01193745
2.468443,0.007174217
2.475618,0.009395735
2.485013,0.009391344
2.494405,0.008831179
2.503236,0.007290245
2.510526,0.008464134
2.51899,0.007562505
2.526553,0.007241054
2.533794,0.01095916
2.544753,0.007667936
2.552421,0.006345817
2.558767,0.009545126
2.568312,0.008302332
2.576614,0.006348006
2.582962,0.006819213
2.589781,0.009469924
2.599251,0.009875652
2.609127,0.007169844
2.616297,0.007602897
2.6239,0.01056031
2.63446,0.007330328
2.64179,0.008609098
2.6504,0.007956643
2.658356,0.0066359
2.664992,0.007285707
2.672278,0.006718941
2.678997,0.009274636
2.688271,0.006805482
2.695077,0.006918862
2.701996,0.006516206
2.708512,0.008795371
2.717307,0.007246606
2.724554,0.006837178
2.731391,0.007710875
2.739102,0.0073614
2.746463,0.007222205
2.753686,0.007713884
2.761399,0.006426522
2.767826,0.007852963
2.775679,0.006636972
2.782316,0.007362773
2.789679,0.007276116
2.796955,0.01229526
2.80925,0.007589341
2.816839,0.01255925
2.829399,0.00859864
2.837997,0.006847575
2.844845,0.009699983
2.854545,0.009396874
2.863942,0.007254662
2.871196,0.01054506
2.881741,0.0109458
2.892687,0.008108366
2.900796,0.007791873
2.908587,0.007046652
2.915634,0.007409693
2.923044,0.006387999
2.929432,0.009654204
2.939086,0.009036746
2.948123,0.01042293
2.958546,0.00811271
2.966658,0.008099524
2.974758,0.008454497
2.983212,0.006381663
2.989594,0.0103853
2.999979,0.008265073
3.008244,0.01271081
3.020955,0.006374102
3.027329,0.008065548
3.035395,0.008384744
3.04378,0.008806182
3.052586,0.009316265
3.061902,0.007983685
3.069886,0.008072667
3.077958,0.009552795
3.087511,0.009232341
3.096744,0.007292244
3.104036,0.006381618
3.110417,0.007865204
3.118283,0.008405916
3.126689,0.008454603
3.135143,0.006381055
3.141524,0.008302564
3.149827,0.008946928
3.158774,0.01025433
3.169028,0.01150301
3.180531,0.006502669
3.187034,0.01184627
3.19888,0.01033661
3.209217,0.01244967
3.221666,0.01222645
3.233893,0.01356755
3.24746,0.0154905
3.262951,0.01353488
3.276486,0.02216515
3.298651,0.01094398
3.309595,0.01424272
3.323838,0.02396322
3.347801,0.01226614
3.360067,0.008400639
3.368468,0.01250305
3.380971,0.01515503
3.396126,0.025
3.421126,0.008767975
3.429894,0.008784123
3.438678,0.008009418
3.446687,0.01867677
3.465364,0.0104337
3.475798,0.01088958
3.486687,0.01183549
3.498523,0.01951028
3.518033,0.008224527
3.526257,0.025
3.551257,0.01474213
3.566,0.02470709
3.590707,0.01021317
3.60092,0.01169254
3.612612,0.01871643
3.631329,0.01400134
3.64533,0.01911226
3.664442,0.02188714
3.68633,0.009024801
3.695354,0.01093343
3.706288,0.01376301
3.720051,0.025
3.745051,0.008397538
3.753448,0.008799358
3.762248,0.01010764
3.772355,0.01354243
3.785898,0.01212287
3.798021,0.01891226
3.816933,0.01814919
3.835082,0.01385784
3.84894,0.02303469
3.871975,0.01166784
3.883642,0.01132134
3.894964,0.01998167
3.914945,0.006339766
3.921285,0.0182687
3.939554,0.01232232
3.951876,0.01633417
3.96821,0.01689395
3.985104,0.01820064
